127.0.0.1 - - [28/Feb/2023:09:20:10 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:20:27 +0700] "GET /TestServlet/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:20:27 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:20:35 +0700] "GET /TestServlet/hello HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:20:44 +0700] "GET /TestServlet/hello/quyet=Le%20Manh%20Quyet HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:21:01 +0700] "GET /TestServlet/hello?quyet=Le%20Manh%20Quyet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:21:08 +0700] "GET /TestServlet/hello?quyet=Le%20Manh%20Quyet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:21:10 +0700] "GET /TestServlet/hello?quyet=Le%20Manh%20Quyet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:21:10 +0700] "GET /TestServlet/hello?quyet=Le%20Manh%20Quyet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:21:11 +0700] "GET /TestServlet/hello?quyet=Le%20Manh%20Quyet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:25:12 +0700] "GET /TestServlet/hello?quyet=Le%20Manh%20Quyet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:25:19 +0700] "GET /TestServlet/hello?quyet=2 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:25:36 +0700] "GET /TestServlet/hello?quyet=2 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:30:04 +0700] "GET /TestServlet/hello?q=haha HTTP/1.1" 500 1263
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:30:23 +0700] "GET /TestServlet/hello?q=haha HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:30:59 +0700] "GET /TestServlet/hello?q=haha HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:00 +0700] "GET /TestServlet/hello?q=haha HTTP/1.1" 200 8
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:08 +0700] "GET /TestServlet/hello?q=haah HTTP/1.1" 500 1263
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:11 +0700] "GET /TestServlet/hello?q=haah HTTP/1.1" 500 1263
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:38 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:48 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:49 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:49 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:49 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:49 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:50 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:51 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:51 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:31:53 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:32:03 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [28/Feb/2023:09:32:04 +0700] "GET /TestServlet/hello?quyet=1&q=haah HTTP/1.1" 200 7
